PE x,PE y,Stride,Size (elems),Size (kB),Processed Size (elems),Processed Size (kB),Stop Cycle,Start Cycle,Num Cycles,GB/s,Elems/Cycle
1,1,1,256,0.512,256,0.512,9,266,257,1.693385214007782,0.9961089494163424
1,1,1,1280,2.56,1280,2.56,9,907,898,2.423162583518931,1.4253897550111359
1,1,1,2304,4.6080000000000005,2304,4.6080000000000005,9,1394,1385,2.828014440433213,1.6635379061371842
1,1,1,3328,6.656000000000001,3328,6.656000000000001,9,1816,1807,3.130935251798561,1.841726618705036
1,1,1,4352,8.704,4352,8.704,9,2199,2190,3.378264840182649,1.987214611872146
1,1,1,5376,10.752,5376,10.752,9,2557,2548,3.586813186813187,2.10989010989011
1,1,1,6400,12.8,6400,12.8,9,2897,2888,3.7673130193905817,2.21606648199446
1,1,1,7424,14.848,7424,14.848,9,3223,3214,3.92682016179216,2.309894212818917
1,1,1,8448,16.896,8448,16.896,9,3540,3531,4.067289719626168,2.392523364485981
1,1,1,9472,18.944,9472,18.944,9,3848,3839,4.194425631674916,2.4673091951028914
