PE x,PE y,Stride,Size (elems),Size (kB),Processed Size (elems),Processed Size (kB),Stop Cycle,Start Cycle,Num Cycles,GB/s,Elems/Cycle
300,300,1,256,0.512,256,0.512,216785173730213,216785173741725,11512,0.03780403057678944,0.022237665045170257
300,310,1,256,0.512,256,0.512,31779558501050,31779558512567,11517,0.03778761830337762,0.022228010766692716
300,320,1,256,0.512,256,0.512,233001871716543,233001871728057,11514,0.03779746395692201,0.022233802327601183
300,330,1,256,0.512,256,0.512,232220212306542,232220212318053,11511,0.037807314742420293,0.022239596907306054
300,340,1,256,0.512,256,0.512,26595029323487,26595029335066,11579,0.037585283703255895,0.02210899041367994
300,350,1,256,0.512,256,0.512,234411697113106,234411697124636,11530,0.03774501300954033,0.02220294882914137
300,360,1,256,0.512,256,0.512,234119808668690,234119808680189,11499,0.03784676928428559,0.022262805461344466
300,370,1,256,0.512,256,0.512,231899147266562,231899147278075,11513,0.03780074698167289,0.022235733518631114
300,380,1,256,0.512,256,0.512,21001215603988,21001215615493,11505,0.037827031725336815,0.022251195132551065
300,390,1,256,0.512,256,0.512,232156762609213,232156762620717,11504,0.03783031988873436,0.022253129346314324
300,400,1,256,0.512,256,0.512,2423339022519,2423339034090,11571,0.037611269553193334,0.022124276207760783
300,410,1,256,0.512,256,0.512,117858795781375,117858795792892,11517,0.03778761830337762,0.022228010766692716
300,420,1,256,0.512,256,0.512,172817677634456,172817677645958,11502,0.037836897930794644,0.022256998782820378
300,430,1,256,0.512,256,0.512,151398331744273,151398331755860,11587,0.03755933373608355,0.022093725727107966
300,440,1,256,0.512,256,0.512,234377338990857,234377339002371,11514,0.03779746395692201,0.022233802327601183
300,450,1,256,0.512,256,0.512,231113302012458,231113302023973,11515,0.03779418150238819,0.022231871471993053
310,300,1,256,0.512,256,0.512,29866165814916,29866165826434,11518,0.03778433755860393,0.022226080916825836
310,310,1,256,0.512,256,0.512,172160472103927,172160472115431,11504,0.03783031988873436,0.022253129346314324
310,320,1,256,0.512,256,0.512,25474428280224,25474428291732,11508,0.037817170663886,0.02224539450816823
310,330,1,256,0.512,256,0.512,3445473120815,3445473132323,11508,0.037817170663886,0.02224539450816823
310,340,1,256,0.512,256,0.512,21479889373434,21479889385018,11584,0.03756906077348066,0.022099447513812154
