PE x,PE y,Stride,Size (elems),Size (kB),Processed Size (elems),Processed Size (kB),Stop Cycle,Start Cycle,Num Cycles,GB/s,Elems/Cycle
1,1,1,256,0.512,256,0.512,281439338844062,281439338844843,781,0.5572343149807939,0.32778489116517284
1,1,1,1280,2.56,1280,2.56,46838864365,46838867730,3365,0.6466567607726597,0.3803863298662704
1,1,1,2304,4.6080000000000005,2304,4.6080000000000005,129253330727,129253336334,5607,0.6985553772070626,0.41091492776886035
1,1,1,3328,6.656000000000001,3328,6.656000000000001,211695878927,211695886556,7629,0.7415912963691179,0.4362301743347752
1,1,1,4352,8.704,4352,8.704,294389035940,294389045477,9537,0.7757575757575758,0.4563279857397504
1,1,1,5376,10.752,5376,10.752,376982474427,376982485854,11427,0.7997899711210292,0.47046468889472304
1,1,1,6400,12.8,6400,12.8,459378248071,459378261395,13324,0.8165716001200841,0.48033623536475534
1,1,1,7424,14.848,7424,14.848,541863305084,541863320297,15213,0.829606257805824,0.4880036810622494
1,1,1,8448,16.896,8448,16.896,624292141441,624292158554,17113,0.8392216443639339,0.49365979080231404
1,1,1,9472,18.944,9472,18.944,706828749122,706828768135,19013,0.8469152685004997,0.49818545205911746
