PE x,PE y,Stride,Size (elems),Size (kB),Processed Size (elems),Processed Size (kB),Stop Cycle,Start Cycle,Num Cycles,GB/s,Elems/Cycle
1,1,1,256,0.512,256,0.512,9,381,372,1.1698924731182796,0.6881720430107527
1,1,1,1280,2.56,1280,2.56,9,1661,1652,1.3171912832929784,0.774818401937046
1,1,1,2304,4.6080000000000005,2304,4.6080000000000005,9,2941,2932,1.335879945429741,0.7858117326057299
1,1,1,3328,6.656000000000001,3328,6.656000000000001,9,4221,4212,1.3432098765432101,0.7901234567901234
1,1,1,4352,8.704,4352,8.704,9,5501,5492,1.3471230881281866,0.7924253459577567
1,1,1,5376,10.752,5376,10.752,9,6781,6772,1.3495569994093326,0.793857058476078
1,1,1,6400,12.8,6400,12.8,9,8061,8052,1.3512170889220072,0.7948335817188277
1,1,1,7424,14.848,7424,14.848,9,9341,9332,1.35242177453922,0.7955422203171881
1,1,1,8448,16.896,8448,16.896,9,10621,10612,1.3533358462118357,0.7960799095363739
1,1,1,9472,18.944,9472,18.944,9,11901,11892,1.3540531449714095,0.796501849983182
