PE x,PE y,Stride,Size (elems),Size (kB),Processed Size (elems),Processed Size (kB),Stop Cycle,Start Cycle,Num Cycles,GB/s,Elems/Cycle
1,1,1,256,0.512,256,0.512,9,917,908,0.4792951541850221,0.28193832599118945
1,1,1,1280,2.56,1280,2.56,9,2908,2899,0.7506036564332529,0.4415315626077958
1,1,1,2304,4.6080000000000005,2304,4.6080000000000005,9,4459,4450,0.880179775280899,0.5177528089887641
1,1,1,3328,6.656000000000001,3328,6.656000000000001,9,5883,5874,0.9631596867551925,0.5665645216207014
1,1,1,4352,8.704,4352,8.704,9,7251,7242,1.0215962441314554,0.6009389671361502
1,1,1,5376,10.752,5376,10.752,9,8590,8581,1.0650506933923785,0.6265004078778698
1,1,1,6400,12.8,6400,12.8,9,9914,9905,1.098435133770823,0.6461383139828369
1,1,1,7424,14.848,7424,14.848,9,11229,11220,1.124848484848485,0.6616755793226381
1,1,1,8448,16.896,8448,16.896,9,12539,12530,1.146177174780527,0.6742218675179569
1,1,1,9472,18.944,9472,18.944,9,13846,13837,1.1637204596372048,0.6845414468454145
