PE x,PE y,Stride,Size (elems),Size (kB),Processed Size (elems),Processed Size (kB),Stop Cycle,Start Cycle,Num Cycles,GB/s,Elems/Cycle
1,1,1,256,0.512,256,0.512,9,88404,88395,0.004923355393404604,0.002896091407885061
1,1,1,1280,2.56,1280,2.56,9,431398,431389,0.0050441712700138395,0.0029671595705963757
1,1,1,2304,4.6080000000000005,2304,4.6080000000000005,9,774674,774665,0.005056121032962636,0.002974188842919197
1,1,1,3328,6.656000000000001,3328,6.656000000000001,9,1117853,1117844,0.0050611713262315675,0.002977159603665628
1,1,1,4352,8.704,4352,8.704,9,1460965,1460956,0.0050640813275690715,0.002978871369158277
1,1,1,5376,10.752,5376,10.752,9,1804049,1804040,0.005065963060686017,0.002979978270991774
1,1,1,6400,12.8,6400,12.8,9,2147247,2147238,0.005066974410847796,0.0029805731828516447
1,1,1,7424,14.848,7424,14.848,9,2490399,2490390,0.005067800625604826,0.00298105919153225
1,1,1,8448,16.896,8448,16.896,9,2833525,2833516,0.005068473232549243,0.002981454842676025
1,1,1,9472,18.944,9472,18.944,9,3176628,3176619,0.005069037237389816,0.0029817866102293034
