cmaddr,width,height,size,stride,min_cycles,max_cycles,mem_access_total,bw,scale_bw,flop_total,flops_sec,scale_flops_sec,walltime
,1,1,128,1,74,74,1024.0,1.176216216216216e-05,8.76869189189189,128,1.47027027027027e-06,1.0960864864864863,1.5155928134918213
,1,1,256,1,138,138,2048.0,1.261449275362319e-05,9.404104347826088,256,1.5768115942028987e-06,1.175513043478261,2.5443766117095947
,1,1,384,1,202,202,3072.0,1.2926732673267327e-05,9.636879207920792,384,1.6158415841584158e-06,1.204609900990099,3.436535596847534
,1,1,512,1,266,266,4096.0,1.3088721804511278e-05,9.757642105263157,512,1.6360902255639098e-06,1.2197052631578946,4.649631500244141
,1,1,640,1,330,330,5120.0,1.3187878787878788e-05,9.831563636363637,640,1.6484848484848485e-06,1.2289454545454546,5.645136117935181
,1,1,768,1,394,394,6144.0,1.325482233502538e-05,9.881470050761422,768,1.6568527918781726e-06,1.2351837563451777,7.029452562332153
,1,1,896,1,458,458,7168.0,1.3303056768558952e-05,9.9174288209607,896,1.662882096069869e-06,1.2396786026200874,8.066094398498535
,1,1,1024,1,522,522,8192.0,1.3339463601532567e-05,9.944570114942529,1024,1.667432950191571e-06,1.2430712643678161,9.20907187461853
,1,1,1152,1,586,586,9216.0,1.3367918088737201e-05,9.965782935153584,1152,1.6709897610921502e-06,1.245722866894198,10.00441288948059
,1,1,1280,1,650,650,10240.0,1.339076923076923e-05,9.98281846153846,1280,1.6738461538461537e-06,1.2478523076923076,11.097234010696411
,1,1,1408,1,714,714,11264.0,1.340952380952381e-05,9.9968,1408,1.6761904761904762e-06,1.2496,12.262941360473633
,1,1,1536,1,778,778,12288.0,1.3425192802056554e-05,10.00848123393316,1536,1.6781491002570693e-06,1.251060154241645,13.629220247268677
,1,1,1664,1,842,842,13312.0,1.3438479809976246e-05,10.018386698337292,1664,1.6798099762470308e-06,1.2522983372921614,14.6856050491333
,1,1,1792,1,906,906,14336.0,1.3449889624724063e-05,10.026892715231789,1792,1.6812362030905078e-06,1.2533615894039736,15.864427089691162
,1,1,1920,1,970,970,15360.0,1.3459793814432989e-05,10.034276288659793,1920,1.6824742268041236e-06,1.2542845360824741,16.647725582122803
,1,1,2048,1,1034,1034,16384.0,1.3468471953578337e-05,10.040745841392651,2048,1.6835589941972922e-06,1.2550932301740814,17.763041257858276
