cmaddr,width,height,size,stride,min_cycles,max_cycles,mem_access_total,bw,scale_bw,flop_total,flops_sec,scale_flops_sec,walltime
,1,1,256,1,75,75,1024.0,1.1605333333333334e-05,8.651776,256,2.9013333333333335e-06,2.162944,1.9867329597473145
,1,1,512,1,139,139,2048.0,1.2523741007194244e-05,9.33644892086331,512,3.130935251798561e-06,2.3341122302158275,3.568551540374756
,1,1,768,1,203,203,3072.0,1.286305418719212e-05,9.589406896551726,768,3.21576354679803e-06,2.3973517241379314,5.13627290725708
,1,1,1024,1,267,267,4096.0,1.3039700374531835e-05,9.721096629213482,1024,3.2599250936329587e-06,2.4302741573033706,6.74125862121582
,1,1,1280,1,331,331,5120.0,1.3148036253776436e-05,9.801861027190334,1280,3.287009063444109e-06,2.4504652567975835,8.405104875564575
,1,1,1536,1,395,395,6144.0,1.3221265822784809e-05,9.856453670886076,1536,3.3053164556962022e-06,2.464113417721519,9.900750637054443
,1,1,1792,1,459,459,7168.0,1.3274074074074074e-05,9.895822222222222,1792,3.3185185185185185e-06,2.4739555555555555,11.862644672393799
,1,1,2048,1,523,523,8192.0,1.3313957934990438e-05,9.925555640535372,2048,3.3284894837476095e-06,2.481388910133843,13.267065048217773
,1,1,2304,1,587,587,9216.0,1.3345144804088584e-05,9.94880545144804,2304,3.336286201022146e-06,2.48720136286201,14.708874940872192
,1,1,2560,1,651,651,10240.0,1.3370199692780336e-05,9.96748387096774,2560,3.342549923195084e-06,2.491870967741935,16.310166597366333
,1,1,2816,1,715,715,11264.0,1.339076923076923e-05,9.98281846153846,2816,3.3476923076923074e-06,2.495704615384615,18.269055604934692
,1,1,3072,1,779,779,12288.0,1.3407958921694481e-05,9.995633376123235,3072,3.3519897304236203e-06,2.498908344030809,19.78044033050537
,1,1,3328,1,843,843,13312.0,1.3422538552787665e-05,10.006502491103204,3328,3.3556346381969163e-06,2.501625622775801,21.70150136947632
,1,1,3584,1,907,907,14336.0,1.3435060639470781e-05,10.015837706725467,3584,3.3587651598676953e-06,2.5039594266813667,22.979070901870728
,1,1,3840,1,971,971,15360.0,1.3445932028836253e-05,10.023942327497426,3840,3.361483007209063e-06,2.5059855818743566,24.469921350479126
,1,1,4096,1,1035,1035,16384.0,1.3455458937198067e-05,10.031044637681159,4096,3.3638647342995166e-06,2.5077611594202898,26.262222051620483
