PE x,PE y,Stride,Size (elems),Size (kB),Processed Size (elems),Processed Size (kB),Stop Cycle,Start Cycle,Num Cycles,GB/s,Elems/Cycle
1,1,1,256,0.512,256,0.512,62255019810164,62255019912633,102469,0.004247138158857801,0.0024983165640340005
1,1,1,1280,2.56,1280,2.56,62337440042244,62337440522464,480220,0.004531256507434093,0.0026654450043729957
1,1,1,2304,4.6080000000000005,2304,4.6080000000000005,62419961952463,62419962809208,856745,0.004571722040980689,0.0026892482594004052
1,1,1,3328,6.656000000000001,3328,6.656000000000001,62502355336493,62502356569283,1232790,0.004589265000527259,0.002699567647368976
1,1,1,4352,8.704,4352,8.704,62584884931270,62584886540008,1608738,0.0045988843428824335,0.00270522608404849
1,1,1,5376,10.752,5376,10.752,62667510962596,62667512947348,1984752,0.004604706280683935,0.002708650753343491
1,1,1,6400,12.8,6400,12.8,62750002344742,62750004705472,2360730,0.004608743905486863,0.0027110258267569777
1,1,1,7424,14.848,7424,14.848,62832474471356,62832477208085,2736729,0.0046116367386029086,0.0027127274932958285
1,1,1,8448,16.896,8448,16.896,62914910746747,62914913859472,3112725,0.004613835144447389,0.0027140206732043466
1,1,1,9472,18.944,9472,18.944,62997295924770,62997299413478,3488708,0.004615576884049912,0.002715045225911713
