PE x,PE y,Stride,Size (elems),Size (kB),Processed Size (elems),Processed Size (kB),Stop Cycle,Start Cycle,Num Cycles,GB/s,Elems/Cycle
1,1,1,256,0.512,256,0.512,9,1526,1517,0.2868820039551747,0.16875411997363216
1,1,1,1280,2.56,1280,2.56,9,4839,4830,0.4505175983436853,0.2650103519668737
1,1,1,2304,4.6080000000000005,2304,4.6080000000000005,9,7606,7597,0.5155719362906411,0.30327760958273003
1,1,1,3328,6.656000000000001,3328,6.656000000000001,9,10262,10253,0.5517994733248806,0.32458792548522386
1,1,1,4352,8.704,4352,8.704,9,12885,12876,0.5745883814849333,0.3379931655793725
1,1,1,5376,10.752,5376,10.752,9,15497,15488,0.5900826446280991,0.34710743801652894
1,1,1,6400,12.8,6400,12.8,9,18106,18097,0.6012046195502017,0.353649776206001
1,1,1,7424,14.848,7424,14.848,9,20714,20705,0.6095532480077277,0.3585607341221927
1,1,1,8448,16.896,8448,16.896,9,23321,23312,0.6160603980782431,0.36238846945778996
1,1,1,9472,18.944,9472,18.944,9,25929,25920,0.6212345679012345,0.3654320987654321
