PE x,PE y,Stride,Size (elems),Size (kB),Processed Size (elems),Processed Size (kB),Stop Cycle,Start Cycle,Num Cycles,GB/s,Elems/Cycle
300,300,1,256,0.512,256,0.512,264103295294116,264103296295794,1001678,0.00043447095773292417,0.00025557115160760246
300,310,1,256,0.512,256,0.512,79097680084526,79097681086214,1001688,0.0004344666203448579,0.0002555686002028576
300,320,1,256,0.512,256,0.512,280319993300020,280319994301620,1001600,0.0004345047923322684,0.00025559105431309905
300,330,1,256,0.512,256,0.512,279538333892646,279538334894298,1001652,0.00043448223534720644,0.00025557778549835673
300,340,1,256,0.512,256,0.512,73913150883347,73913151885549,1002202,0.000434243795163051,0.00025543752656650054
300,350,1,256,0.512,256,0.512,254841962301,254842964009,1001708,0.0004344579458285249,0.0002555634975461911
300,360,1,256,0.512,256,0.512,281437930236495,281437931238144,1001649,0.0004344835366480674,0.0002555785509694514
300,370,1,256,0.512,256,0.512,279217268848530,279217269850173,1001643,0.0004344861392731742,0.0002555800819253966
300,380,1,256,0.512,256,0.512,68319337185934,68319338187554,1001620,0.0004344961162916076,0.00025558595075976916
300,390,1,256,0.512,256,0.512,279474884179971,279474885181608,1001637,0.0004344887419294615,0.0002555816128996832
300,400,1,256,0.512,256,0.512,49741460619125,49741461621212,1002087,0.00043429362919586824,0.0002554668407034519
300,410,1,256,0.512,256,0.512,165176917378066,165176918379735,1001669,0.00043447486145622955,0.0002555734479154291
300,420,1,256,0.512,256,0.512,220135799277688,220135800279411,1001723,0.00043445144016858954,0.0002555596706874056
300,430,1,256,0.512,256,0.512,198716453377728,198716454379633,1001905,0.0004343725203487357,0.00025551324726396214
300,440,1,256,0.512,256,0.512,220483913754,220484915429,1001675,0.0004344722589662316,0.00025557191703895975
300,450,1,256,0.512,256,0.512,278431423629477,278431424631154,1001677,0.00043447139147649393,0.00025557140675087876
310,300,1,256,0.512,256,0.512,77184287378863,77184288380546,1001683,0.0004344687890280658,0.0002555698758988622
310,310,1,256,0.512,256,0.512,219478593687382,219478594689072,1001690,0.00043446575287763684,0.00025556808992802164
310,320,1,256,0.512,256,0.512,72792549863701,72792550865301,1001600,0.0004345047923322684,0.00025559105431309905
310,330,1,256,0.512,256,0.512,50763594706940,50763595708561,1001621,0.0004344956824986697,0.0002555856955874527
310,340,1,256,0.512,256,0.512,68798010933278,68798011935482,1002204,0.0004342429285853978,0.00025543701681493986
310,350,1,256,0.512,256,0.512,66122247928190,66122248929895,1001705,0.0004344592469838925,0.00025556426293170143
310,360,1,256,0.512,256,0.512,73930867913800,73930868915441,1001641,0.00043448700682180544,0.0002555805922481208
310,370,1,256,0.512,256,0.512,39257007027850,39257008029478,1001628,0.00043449264597235707,0.00025558390939550414
310,380,1,256,0.512,256,0.512,210253062691250,210253063692854,1001604,0.00043450305709641737,0.00025559003358612784
310,390,1,256,0.512,256,0.512,219039861330956,219039862332610,1001654,0.00043448136781762967,0.000255577275186841
310,400,1,256,0.512,256,0.512,37640533100243,37640534102367,1002124,0.0004342775943895167,0.0002554574084644216
310,410,1,256,0.512,256,0.512,70619296432203,70619297433855,1001652,0.00043448223534720644,0.00025557778549835673
310,420,1,256,0.512,256,0.512,64975791865934,64975792867636,1001702,0.0004344605481470537,0.0002555650283217963
310,430,1,256,0.512,256,0.512,76584067275595,76584068277546,1001951,0.0004343525781200877,0.0002555015165412281
310,440,1,256,0.512,256,0.512,65093376101522,65093377103150,1001628,0.00043449264597235707,0.00025558390939550414
310,450,1,256,0.512,256,0.512,266345402826332,266345403828031,1001699,0.00043446184931800874,0.0002555657937164757
320,300,1,256,0.512,256,0.512,68115398401469,68115399403116,1001647,0.0004344844041863052,0.00025557906128606186
320,310,1,256,0.512,256,0.512,79322137873012,79322138874684,1001672,0.0004344735602073334,0.000255572682474902
320,320,1,256,0.512,256,0.512,79392807570485,79392808572109,1001624,0.00043449438112505296,0.00025558493007356054
320,330,1,256,0.512,256,0.512,70550559370697,70550560372305,1001608,0.00043450132187442594,0.00025558901286730935
320,340,1,256,0.512,256,0.512,279475116163293,279475117165432,1002139,0.0004342710941296567,0.000255453584782151
320,350,1,256,0.512,256,0.512,52957161288923,52957162290834,1001911,0.0004343699190846293,0.00025551171710860545
320,360,1,256,0.512,256,0.512,13385578356,13386579966,1001610,0.00043450045426862753,0.0002555885025109574
320,370,1,256,0.512,256,0.512,279479273911164,279479274912762,1001598,0.00043450565995539135,0.0002555915646796419
320,380,1,256,0.512,256,0.512,77212205710015,77212206711568,1001553,0.00043452518239174565,0.0002556030484657327
320,390,1,256,0.512,256,0.512,67230495142407,67230496144000,1001593,0.00043450782902835784,0.00025559284060491636
320,400,1,256,0.512,256,0.512,199266602056124,199266603058068,1001944,0.0004343556126889328,0.0002555033015817251
320,410,1,256,0.512,256,0.512,66182595430271,66182596432003,1001732,0.00043444753686614786,0.00025555737462714577
320,420,1,256,0.512,256,0.512,68354910007829,68354911009721,1001892,0.00043437815652784935,0.00025551656266344075
320,430,1,256,0.512,256,0.512,73744011647528,73744012649261,1001733,0.000434447103170206,0.0002555571195118859
320,440,1,256,0.512,256,0.512,238857120863522,238857121865214,1001692,0.0004344648854138797,0.00025556757965522334
320,450,1,256,0.512,256,0.512,68424568638689,68424569640337,1001648,0.00043448397041675324,0.0002555788061275019
330,300,1,256,0.512,256,0.512,78199746724266,78199747725943,1001677,0.00043447139147649393,0.00025557140675087876
330,310,1,256,0.512,256,0.512,279504892440657,279504893442297,1001640,0.00043448744059742026,0.0002555808474102472
330,320,1,256,0.512,256,0.512,72727790077000,72727791078644,1001644,0.0004344857055001578,0.0002555798267647987
330,330,1,256,0.512,256,0.512,64026655834377,64026656835978,1001601,0.0004345043585220063,0.0002555907991305919
330,340,1,256,0.512,256,0.512,69184928728041,69184929730160,1002119,0.0004342797611860468,0.00025545868305061576
330,350,1,256,0.512,256,0.512,219040633078293,219040634080179,1001886,0.0004343807578906183,0.0002555180928768343
330,360,1,256,0.512,256,0.512,277263192342619,277263193344226,1001607,0.00043450175567862445,0.00025558926804624966
330,370,1,256,0.512,256,0.512,237399309212,237400310822,1001610,0.00043450045426862753,0.0002555885025109574
330,380,1,256,0.512,256,0.512,177271472095908,177271473097465,1001557,0.00043452344699303186,0.0002556020276429599
330,390,1,256,0.512,256,0.512,57416651502307,57416652503907,1001600,0.0004345047923322684,0.00025559105431309905
330,400,1,256,0.512,256,0.512,36405670987361,36405671989323,1001962,0.0004343478095975696,0.0002554987115279821
330,410,1,256,0.512,256,0.512,275132922609033,275132923610751,1001718,0.00043445360870025297,0.00025556094629426647
330,420,1,256,0.512,256,0.512,71610255297799,71610256299718,1001919,0.0004343664507809514,0.0002555096769299714
330,430,1,256,0.512,256,0.512,65645884429513,65645885431257,1001744,0.00043444233257199446,0.0002555543132776438
330,440,1,256,0.512,256,0.512,65112777831695,65112778833355,1001660,0.00043447876524968553,0.0002555757442645209
330,450,1,256,0.512,256,0.512,77104411987550,77104412989206,1001656,0.00043448050029151725,0.0002555767648773631
340,300,1,256,0.512,256,0.512,68373162933936,68373163935578,1001642,0.0004344865730470568,0.00025558033708650394
340,310,1,256,0.512,256,0.512,214642561460584,214642562462258,1001674,0.00043447269271239947,0.0002555721721837644
340,320,1,256,0.512,256,0.512,68389940148802,68389941150426,1001624,0.00043449438112505296,0.00025558493007356054
340,330,1,256,0.512,256,0.512,38714283343400,38714284345022,1001622,0.0004344952487065979,0.0002555854404156458
340,340,1,256,0.512,256,0.512,213547327208488,213547328210648,1002160,0.00043426199409275963,0.0002554482318192704
