cmaddr,width,height,size,stride,min_cycles,max_cycles,mem_access_total,bw,scale_bw,flop_total,flops_sec,scale_flops_sec,walltime
10.8.88.10:9000,750,994,16,1,31,31,95424000.0,2.6164645161290325,2.6164645161290325,11928000,0.32705806451612907,0.32705806451612907,127.9685583114624
10.8.88.10:9000,750,994,32,1,49,49,190848000.0,3.3106285714285715,3.3106285714285715,23856000,0.41382857142857143,0.41382857142857143,129.20676136016846
10.8.88.10:9000,750,994,64,1,81,81,381696000.0,4.005451851851852,4.005451851851852,47712000,0.5006814814814815,0.5006814814814815,125.956862449646
10.8.88.10:9000,750,994,128,1,145,147,763392000.0,4.414171428571429,4.414171428571429,95424000,0.5517714285714286,0.5517714285714286,126.42098450660706
10.8.88.10:9000,750,994,256,1,281,283,1526784000.0,4.585746996466431,4.585746996466431,190848000,0.5732183745583038,0.5732183745583038,130.02100038528442
10.8.88.10:9000,750,994,512,1,553,555,3053568000.0,4.676635675675676,4.676635675675676,381696000,0.5845794594594595,0.5845794594594595,132.7465136051178
10.8.88.10:9000,750,994,1024,1,1097,1099,6107136000.0,4.723444585987261,4.723444585987261,763392000,0.5904305732484076,0.5904305732484076,139.73913955688477
10.8.88.10:9000,750,994,2048,1,2185,2187,12214272000.0,4.74720219478738,4.74720219478738,1526784000,0.5934002743484225,0.5934002743484225,150.85143065452576
