cmaddr,width,height,size,stride,min_cycles,max_cycles,mem_access_total,bw,scale_bw,flop_total,flops_sec,scale_flops_sec,walltime
10.8.88.10:9000,750,994,256,1,102,102,763392000.0,6.361600000000001,6.361600000000001,190848000,1.5904000000000003,1.5904000000000003,107.06811332702637
10.8.88.10:9000,750,994,512,1,196,196,1526784000.0,6.621257142857143,6.621257142857143,381696000,1.6553142857142857,1.6553142857142857,129.9680140018463
10.8.88.10:9000,750,994,768,1,290,290,2290176000.0,6.712584827586207,6.712584827586207,572544000,1.6781462068965518,1.6781462068965518,129.74391198158264
10.8.88.10:9000,750,994,1024,1,384,384,3053568000.0,6.7592,6.7592,763392000,1.6898,1.6898,132.71359705924988
10.8.88.10:9000,750,994,1280,1,478,478,3816960000.0,6.787481171548117,6.787481171548117,954240000,1.6968702928870292,1.6968702928870292,134.8072006702423
10.8.88.10:9000,750,994,1536,1,572,572,4580352000.0,6.806467132867133,6.806467132867133,1145088000,1.7016167832167832,1.7016167832167832,136.27586841583252
10.8.88.10:9000,750,994,2048,1,760,760,6107136000.0,6.830349473684211,6.830349473684211,1526784000,1.7075873684210527,1.7075873684210527,121.47934699058533
10.8.88.10:9000,750,994,4096,1,1512,1512,12214272000.0,6.866488888888889,6.866488888888889,3053568000,1.7166222222222223,1.7166222222222223,150.59988284111023
