cmaddr,width,height,size,stride,min_cycles,max_cycles,mem_access_total,bw,scale_bw,flop_total,flops_sec,scale_flops_sec,walltime
,1,1,256,1,77,77,1536.0,1.6955844155844157e-05,12.640581818181818,512,5.651948051948053e-06,4.213527272727273,2.2098710536956787
,1,1,512,1,141,141,3072.0,1.8519148936170217e-05,13.806025531914896,1024,6.173049645390071e-06,4.6020085106382975,3.9016366004943848
,1,1,768,1,205,205,4608.0,1.910634146341463e-05,14.243777560975607,1536,6.368780487804877e-06,4.747925853658535,5.796306610107422
,1,1,1024,1,269,269,6144.0,1.941412639405205e-05,14.473231226765803,2048,6.471375464684015e-06,4.824410408921933,7.483612775802612
,1,1,1280,1,333,333,7680.0,1.9603603603603604e-05,14.614486486486488,2560,6.5345345345345345e-06,4.871495495495496,9.307860851287842
,1,1,1536,1,397,397,9216.0,1.973198992443325e-05,14.710198488664988,3072,6.5773299748110825e-06,4.903399496221662,11.083314657211304
,1,1,1792,1,461,461,10752.0,1.9824728850325378e-05,14.779335357917569,3584,6.60824295010846e-06,4.926445119305857,13.08442759513855
,1,1,2048,1,525,525,12288.0,1.9894857142857142e-05,14.831615999999999,4096,6.631619047619048e-06,4.943872,14.898161172866821
,1,1,2304,1,589,589,13824.0,1.994974533106961e-05,14.872535144312394,4608,6.649915110356536e-06,4.957511714770797,16.97631311416626
,1,1,2560,1,653,653,15360.0,1.9993874425727413e-05,14.905433384379787,5120,6.6646248085758036e-06,4.9684777947932615,18.877175331115723
,1,1,2816,1,717,717,16896.0,2.003012552301255e-05,14.932458577405855,5632,6.6767085076708505e-06,4.977486192468619,20.55115509033203
,1,1,3072,1,781,781,18432.0,2.006043533930858e-05,14.955054545454546,6144,6.686811779769526e-06,4.985018181818181,22.06173849105835
,1,1,3328,1,845,845,19968.0,2.0086153846153848e-05,14.974227692307693,6656,6.695384615384615e-06,4.99140923076923,24.446815967559814
,1,1,3584,1,909,909,21504.0,2.0108250825082507e-05,14.99070099009901,7168,6.702750275027503e-06,4.996900330033004,25.53714156150818
,1,1,3840,1,973,973,23040.0,2.012744090441932e-05,15.005007194244603,7680,6.709146968139773e-06,5.001669064748201,28.092591524124146
,1,1,4096,1,1037,1037,24576.0,2.0144262295081968e-05,15.017547540983607,8192,6.714754098360655e-06,5.005849180327869,29.375940084457397
