PE x,PE y,Stride,Size (elems),Size (kB),Processed Size (elems),Processed Size (kB),Stop Cycle,Start Cycle,Num Cycles,GB/s,Elems/Cycle
1,1,1,256,0.512,256,0.512,9,7243,7234,0.060160353884434616,0.03538844346143213
1,1,1,1280,2.56,1280,2.56,9,32843,32834,0.0662727660352074,0.03898398002071024
1,1,1,2304,4.6080000000000005,2304,4.6080000000000005,9,58443,58434,0.06702946914467604,0.039429099496868264
1,1,1,3328,6.656000000000001,3328,6.656000000000001,9,84043,84034,0.0673251303044006,0.039603017826118
1,1,1,4352,8.704,4352,8.704,9,109643,109634,0.06748271521608261,0.03969571483298977
1,1,1,5376,10.752,5376,10.752,9,135243,135234,0.06758063800523538,0.039753316473667866
1,1,1,6400,12.8,6400,12.8,9,160843,160834,0.0676473879901016,0.039792581170647996
1,1,1,7424,14.848,7424,14.848,9,186443,186434,0.06769580655888949,0.03982106268169969
1,1,1,8448,16.896,8448,16.896,9,212043,212034,0.06773253346161465,0.03984266674212626
1,1,1,9472,18.944,9472,18.944,9,237643,237634,0.06776134728195461,0.03985961604820859
