PE x,PE y,Stride,Size (elems),Size (kB),Processed Size (elems),Processed Size (kB),Stop Cycle,Start Cycle,Num Cycles,GB/s,Elems/Cycle
1,1,1,256,0.512,256,0.512,9,247,238,1.8285714285714287,1.0756302521008403
1,1,1,1280,2.56,1280,2.56,9,773,764,2.8481675392670156,1.675392670157068
1,1,1,2304,4.6080000000000005,2304,4.6080000000000005,9,1166,1157,3.3853068280034573,1.9913569576490924
1,1,1,3328,6.656000000000001,3328,6.656000000000001,9,1514,1505,3.7592026578073092,2.211295681063123
1,1,1,4352,8.704,4352,8.704,9,1857,1848,4.003463203463204,2.354978354978355
1,1,1,5376,10.752,5376,10.752,9,2201,2192,4.169343065693431,2.4525547445255476
1,1,1,6400,12.8,6400,12.8,9,2544,2535,4.291913214990139,2.52465483234714
1,1,1,7424,14.848,7424,14.848,9,2887,2878,4.385267546907575,2.57956914523975
1,1,1,8448,16.896,8448,16.896,9,3230,3221,4.458739521887613,2.6227879540515366
1,1,1,9472,18.944,9472,18.944,9,3573,3564,4.518069584736252,2.6576879910213242
