cmaddr,width,height,size,stride,min_cycles,max_cycles,mem_access_total,bw,scale_bw,flop_total,flops_sec,scale_flops_sec,walltime
10.8.88.10:9000,750,994,32,1,28,29,143136000.0,4.195365517241379,4.195365517241379,47712000,1.398455172413793,1.398455172413793,128.8903260231018
10.8.88.10:9000,750,994,64,1,42,44,286272000.0,5.530254545454546,5.530254545454546,95424000,1.8434181818181818,1.8434181818181818,125.52833700180054
10.8.88.10:9000,750,994,128,1,66,67,572544000.0,7.263617910447762,7.263617910447762,190848000,2.421205970149254,2.421205970149254,127.84698295593262
10.8.88.10:9000,750,994,256,1,119,122,1145088000.0,7.97807213114754,7.97807213114754,381696000,2.65935737704918,2.65935737704918,129.30851936340332
10.8.88.10:9000,750,994,512,1,231,231,2290176000.0,8.427054545454546,8.427054545454546,763392000,2.8090181818181814,2.8090181818181814,129.77827072143555
10.8.88.10:9000,750,994,1024,1,449,452,4580352000.0,8.613493805309734,8.613493805309734,1526784000,2.8711646017699115,2.8711646017699115,136.16959285736084
10.8.88.10:9000,750,994,2048,1,891,891,9160704000.0,8.739167676767677,8.739167676767677,3053568000,2.9130558922558927,2.9130558922558927,146.191068649292
10.8.88.10:9000,750,994,4096,1,1769,1772,18321408000.0,8.788485778781038,8.788485778781038,6107136000,2.929495259593679,2.929495259593679,164.96947026252747
