PE x,PE y,Stride,Size (elems),Size (kB),Processed Size (elems),Processed Size (kB),Stop Cycle,Start Cycle,Num Cycles,GB/s,Elems/Cycle
1,1,1,256,0.512,256,0.512,9,783,774,0.5622739018087856,0.330749354005168
1,1,1,1280,2.56,1280,2.56,9,2553,2544,0.8553459119496857,0.5031446540880503
1,1,1,2304,4.6080000000000005,2304,4.6080000000000005,9,4268,4259,0.9196525005869923,0.540972059168819
1,1,1,3328,6.656000000000001,3328,6.656000000000001,9,5984,5975,0.9468786610878662,0.5569874476987448
1,1,1,4352,8.704,4352,8.704,9,7702,7693,0.9617054465098142,0.5657090861822436
1,1,1,5376,10.752,5376,10.752,9,9416,9407,0.971531837992984,0.5714893164664612
1,1,1,6400,12.8,6400,12.8,9,11131,11122,0.9782413235029672,0.5754360726488041
1,1,1,7424,14.848,7424,14.848,9,12846,12837,0.9831580587364649,0.5783282698449793
1,1,1,8448,16.896,8448,16.896,9,14564,14555,0.9867124699416009,0.5804190999656476
1,1,1,9472,18.944,9472,18.944,9,16278,16269,0.9897596656217347,0.5822115680127851
